ID;Database;Table;field_group;memo_key;Field_Name;ACTION;Data_Sample;Mapping Use;Relevant_Model;CRM Class;Primary_Field;Primary_Ontological_Long_Path;Primary_Expected_Value_Type (from Primary_Field);Primary_Expected_Collection_Model;Primary_Expected_Resource_Model;Set_Value_Primary_Field;Primary_Field_Type;Secondary_Field;Secondary_Ontological_Long_Path;Secondary_Expected_Value_Type;Secondary_Expected_Collection_Model;Secondary_Expected_Resource_Model;Set_Value_Secondary_Field;Secondary_Field_Type;Tertiary_Field;Tertiary_Ontological_Long_Path;Tertiary_Expected_Value_Type;Tertiary_Expected_Collection_Model;Set_Value_Tertiary_Field;Tertiary_Field_Type;Quaternary_Field;Quaternary_Ontological_Long_Path;Quaternary_Expected_Collection_Model;Quaternary_Expected_Resource_Model;Quaternary_Expected_Value_Type;Tertiary_Expected_Resource_Model;Set_Value_Quaternary_Field;Quaternary_Field_Type
GLBMAP.148_source_page;XXX;locations;coordinate;?_cs;coordsource_page_no;TODO: does it go to the right context?;183;Yes;GLBM.2_Place;E53 Place;SRDF.789_classificatory_status_specific_citation;->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.789_1];Collection;SRDP.10_specific_citation;;;pass through;SRDF.367_specific_citation_identifier;->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.366_1]->crm:P1_is_identified_by->crm:E42_Identifier[SRDF.367_1];Collection;SRDP.14_identifier;;http://vocab.getty.edu/aat/300445022;additional;LAF.10_identifier_content;->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P190_has_symbolic_content->rdf:literal;String;;;content;LAF.9_identifier_type;->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P2_has_type->crm:E55_Type[9_1];;;Concept;;http://vocab.getty.edu/aat/300445022;additional
GLBMAP.147_source;XXX;locations;coordinate;?_cs;coordsource_zotero_url;TODO: does it go to the right context?;https://www.zotero.org/groups/4678659/items/S37QQBGX;Yes;GLBM.2_Place;E53 Place;SRDF.789_classificatory_status_specific_citation;->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.789_1];Collection;SRDP.10_specific_citation;;;pass through;SRDF.368_specific_citation_part_of_bibliographic_item;->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.366_1]->crm:P106i_forms_part_of->crm:E33_Linguistic_Object[SRDF.368_1];Reference Model;;SRDM.8_Bibliographic_Item;;content;;;;;;;;;;;;;;
GLBMAP.165_overall_remarks (for coordsource);XXX;locations;coordinate;?_cs;coordsource_comments;TODO!;;;;;;->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.789_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P190_has_symbolic_content->rdf:literal;String;;;;content;LAF.14_statement_type;->crmgeo:Q11i_is_approximated_by->crmgeo:SP6_Declarative_Place[G1_1]->crmgeo:Q10_defined_by->crmgeo:SP5_Geometric_Place_Expression[G1_2]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.789_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P2_has_type->crm:E55_Type[14_1];Concept;;;http://vocab.getty.edu/aat/300435415;additional;;;;;;;;;;;;;;
;XXX;locations;coordinate;?_cs;_ls;TODO: can we reuse the uuid?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLBMAP.XXX;XXX;locations;source;?_ls;_source;TODO: can we reuse the uuid?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLBMAP.148_source_page;XXX;locations;source;?_ls;source_page_no;TODO: does it go to the right context?;183;Yes;GLBM.2_Place;E53 Place;SRDF.789_classificatory_status_specific_citation;->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.789_1];Collection;SRDP.10_specific_citation;;;pass through;SRDF.367_specific_citation_identifier;->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.366_1]->crm:P1_is_identified_by->crm:E42_Identifier[SRDF.367_1];Collection;SRDP.14_identifier;;http://vocab.getty.edu/aat/300445022;additional;LAF.10_identifier_content;->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P190_has_symbolic_content->rdf:literal;String;;;content;LAF.9_identifier_type;->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P2_has_type->crm:E55_Type[9_1];;;Concept;;http://vocab.getty.edu/aat/300445022;additional
GLBMAP.147_source;XXX;locations;source;?_ls;source_zotero_url;TODO: does it go to the right context?;https://www.zotero.org/groups/4678659/items/S37QQBGX;Yes;GLBM.2_Place;E53 Place;SRDF.789_classificatory_status_specific_citation;->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.789_1];Collection;SRDP.10_specific_citation;;;pass through;SRDF.368_specific_citation_part_of_bibliographic_item;->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.366_1]->crm:P106i_forms_part_of->crm:E33_Linguistic_Object[SRDF.368_1];Reference Model;;SRDM.8_Bibliographic_Item;;content;;;;;;;;;;;;;;
GLBMAP.165_overall_remarks (for source);XXX;locations;source;?_ls;source_comments;TODO!;;;;;;->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.789_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P190_has_symbolic_content->rdf:literal;String;;;;content;LAF.14_statement_type;->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.789_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P2_has_type->crm:E55_Type[14_1];Concept;;;http://vocab.getty.edu/aat/300435415;additional;;;;;;;;;;;;;;
;XXX;locations;label;?_ll;_ll;TODO: can we reuse the uuid?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLBMAP.XXX;XXX;locations;label;?_ll;_l;TODO: can we reuse the uuid?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLBMAP.138_label;XXX;locations;label;?_ll;label;;Adirampattinam;Yes;GLBM.2_Place;E53 Place;SRDF.524_appellative_status_ascribed_appellation;->aaao:ZP5i_is_appellative_subject_of->aaao:ZE2_Appellative_Status[SRDF.518_1]->aaao:ZP6_ascribes_appellation->crm:E33_E41_Linguistic_Appellation[SRDF.524_1];Collection;SRDP.9_name;;;pass through;LAF.6_name_content;->crm:P190_has_symbolic_content->rdf:literal;String;;;;content;;;;;;;;;;;;;;
GLBMAP.136_alt_pref;XXX;locations;label;?_ll;label_type;;PREF;Yes;GLBM.2_Place;E53 Place;SRDF.522_appellative_status_type;->aaao:ZP5i_is_appellative_subject_of->aaao:ZE2_Appellative_Status[SRDF.518_1]->crm:P2_has_type->crm:E55_Type[SRDF.522_1];Concept;;;label_type;content;;;;;;;;;;;;;;;;;;;;;
GLBMAP.165_overall_remarks (for label);XXX;locations;label;?_ll;label_comments;TODO!;;;;;;->aaao:ZP5i_is_appellative_subject_of->aaao:ZE2_Appellative_Status[SRDF.518_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P190_has_symbolic_content->rdf:literal;String;;;;content;;->aaao:ZP5i_is_appellative_subject_of->aaao:ZE2_Appellative_Status[SRDF.518_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P2_has_type->crm:E55_Type[14_1];Concept;;;http://vocab.getty.edu/aat/300435415;additional;;;;;;;;;;;;;;
;XXX;locations;country;?_lcc;_lcc;TODO: can we reuse the uuid?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;XXX;locations;country;?_lcc;_cc;TODO: can we reuse the uuid?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;XXX;locations;country;?_lcc;countrycode;TODO: look at other IDs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLBMAP.157_country;XXX;locations;country;?_lcc;country;TODO: use an existing LD URI for countries instead of a md5;India/Sri Lanka;Yes;GLBM.2_Place;E53 Place;SRDF.758_topographical_status_ascribed_place;->aaao:ZP85i_is_topographical_subject_of->aaao:ZE44_Topographical_Status[SRDF.752_1]->aaao:ZP77_ascribes_place->crm:E53_Place[SRDF.758_1];Reference Model;;SRDM.5_Place;;content pass through;SRDF.756_topographical_status_type;->aaao:ZP85i_is_topographical_subject_of->aaao:ZE44_Topographical_Status[SRDF.752_1]->crm:P2_has_type->crm:E55_Type[SRDF.756_1];Concept;;;country;additional;;;;;;;;;;;;;;
